MAGG_Galbiati23_obs
Galbiati et al. 2023 https://arxiv.org/pdf/2302.00021.pdf

z,r,Rvir,log C IV:cdens,log C IV:eb,log Si IV:cdens,log Si IV:eb
3,235.87935871880225,51.34961554,12.571356454959032,<,nan,nan
3,238.1204609488009,51.34961554,12.903511931990835,<,nan,nan
3,240.38285600930658,51.34961554,12.585490730577407,<,nan,nan
3,241.52210149622624,51.34961554,11.702098504428998,<,nan,nan
3,242.66674620462516,51.34961554,12.663229246478467,<,nan,nan
3,243.24110125855793,51.34961554,12.921179776513803,<,nan,nan
3,247.29983084570603,51.34961554,12.620826419623343,<,nan,nan
3,249.6494395838208,51.34961554,12.846974829517336,<,nan,nan
3,249.6494395838208,51.34961554,12.57842359276822,<,nan,nan
3,253.21577593705365,51.34961554,12.599625006195781,<,nan,nan
3,261.7366119491781,51.34961554,11.772769882520869,<,nan,nan
3,267.99791596783245,51.34961554,12.246268115736417,<,nan,nan
3,298.78537993708136,51.34961554,12.599625006195781,<,nan,nan
3,31.29186673971946,51.34961554,nan,nan,nan,nan
3,33.09763439443086,51.34961554,nan,nan,13.174864975866821,nan
3,35.336485259386244,51.34961554,nan,nan,13.425736056006194,nan
3,59.93285611766105,51.34961554,nan,nan,13.258488669246612,nan
3,67.9966175677749,51.34961554,nan,nan,12.303784836494,nan
3,80.08539085664023,51.34961554,nan,nan,13.349081003741386,nan
3,93.44549644548026,51.34961554,nan,nan,13.509359749385986,nan
3,98.83797930255159,51.34961554,nan,nan,13.03549215356717,nan
3,103.08559204910026,51.34961554,nan,nan,nan,nan
3,103.56867648704859,51.34961554,nan,nan,13.502391108271002,nan
3,109.03437833716026,51.34961554,nan,nan,13.620858007225706,nan
3,124.2842922876564,51.34961554,nan,nan,13.230614104786682,nan
3,128.71959660362074,51.34961554,nan,nan,13.133053129176925,nan
3,161.85907563390083,51.34961554,nan,nan,12.770683791197833,nan
3,168.4208826647094,51.34961554,nan,nan,13.19577089921177,nan
3,170.79978105703987,51.34961554,nan,nan,13.36301828597135,nan
3,174.02399607986973,51.34961554,nan,nan,nan,nan
3,174.02399607986973,51.34961554,nan,nan,13.502391108271002,nan
3,184.0664427602967,51.34961554,nan,nan,13.516328390500968,nan
3,194.6884114468894,51.34961554,nan,nan,13.328175080396438,nan
3,205.92334476237912,51.34961554,nan,nan,13.52329703161595,nan
3,239.15540638328056,51.34961554,nan,nan,nan,nan
3,250.60213784843344,51.34961554,nan,nan,13.300300515936508,nan
3,250.60213784843344,51.34961554,nan,nan,12.707966021162989,nan
